t,phi,z,omega,vz,E,E_anal
2.750000,9.318475,8.856086,-0.017446,4.110424,94.040712,94.039612
2.760000,9.318292,8.896829,-0.019163,4.038193,94.040712,94.039612
2.770000,9.318092,8.936850,-0.020864,3.965964,94.040712,94.039612
2.780000,9.317875,8.976148,-0.022549,3.893737,94.040712,94.039612
2.790000,9.317641,9.014725,-0.024219,3.821512,94.040712,94.039612
2.800000,9.317391,9.052579,-0.025877,3.749291,94.040712,94.039612
2.810000,9.317124,9.089710,-0.027523,3.677072,94.040712,94.039612
2.820000,9.316840,9.126120,-0.029157,3.604856,94.040712,94.039612
2.830000,9.316540,9.161808,-0.030783,3.532643,94.040712,94.039612
2.840000,9.316225,9.196773,-0.032399,3.460434,94.040712,94.039612
2.850000,9.315893,9.231016,-0.034008,3.388228,94.040712,94.039612
2.860000,9.315544,9.264537,-0.035611,3.316026,94.040712,94.039612
2.870000,9.315180,9.297337,-0.037207,3.243828,94.040712,94.039612
2.880000,9.314800,9.329414,-0.038800,3.171634,94.040712,94.039612
2.890000,9.314404,9.360769,-0.040388,3.099444,94.040712,94.039612
2.900000,9.313993,9.391403,-0.041974,3.027259,94.040712,94.039612
2.910000,9.313565,9.421315,-0.043558,2.955079,94.040712,94.039612
2.920000,9.313121,9.450505,-0.045140,2.882903,94.040712,94.039612
2.930000,9.312662,9.478973,-0.046723,2.810732,94.040712,94.039612
2.940000,9.312187,9.506719,-0.048306,2.738567,94.040712,94.039612
2.950000,9.311696,9.533744,-0.049892,2.666407,94.040712,94.039612
2.960000,9.311189,9.560047,-0.051479,2.594253,94.040712,94.039612
2.970000,9.310666,9.585629,-0.053070,2.522105,94.040712,94.039612
2.980000,9.310128,9.610489,-0.054665,2.449962,94.040712,94.039612
2.990000,9.309573,9.634628,-0.056264,2.377826,94.040712,94.039612
3.000000,9.309002,9.658046,-0.057870,2.305697,94.040712,94.039612
3.010000,9.308416,9.680742,-0.059482,2.233574,94.040712,94.039612
3.020000,9.307813,9.702718,-0.061101,2.161459,94.040712,94.039612
3.030000,9.307194,9.723972,-0.062728,2.089350,94.040712,94.039612
3.040000,9.306558,9.744505,-0.064365,2.017249,94.040712,94.039612
3.050000,9.305906,9.764317,-0.066010,1.945155,94.040712,94.039612
3.060000,9.305238,9.783408,-0.067667,1.873070,94.040712,94.039612
3.070000,9.304553,9.801778,-0.069334,1.800992,94.040712,94.039612
3.080000,9.303851,9.819428,-0.071014,1.728924,94.040712,94.039612
3.090000,9.303133,9.836357,-0.072706,1.656863,94.040712,94.039612
3.100000,9.302397,9.852565,-0.074413,1.584812,94.040712,94.039612
3.110000,9.301644,9.868053,-0.076133,1.512770,94.040712,94.039612
